,Device name,Device manufacture,Platform,Device price,reviews,score
0,"Apple iPhone 11, 64GB, Black - Fully Unlocked (Renewed)",Apple,Amazon,329,11742,0.237746637
1,"Apple iPhone 12, 64GB, Black - Unlocked (Renewed)",Apple,Amazon,410,18884,0.39527415
2,"iPhone 13, 128GB, Midnight - Unlocked (Renewed)",Apple,Amazon,579,2453,-0.008876573
3,"Apple iPhone 8 64 GB, Space Grey (Renewed)",Apple,Amazon,167,206,-0.013036277
4,"Apple iPhone SE 2020 (64GB, 3GB) 4.7"" Retina IPS LCD, A13 Bionic, IP67 Water Resistant, Black - Fully Unlocked A2275 (Renewed)",Apple,Amazon,192,5243,0.101835967
5,"Apple iPhone 8, Fully Unlocked, 64GB - Gold (Renewed)",Apple,Amazon,169,1900,0.026349233
6,"Apple iPhone 12 Mini, 128GB, Blue - Unlocked (Renewed)",Apple,Amazon,388,10094,0.192271776
7,"Apple iPhone XR, 64GB, Black - Fully Unlocked (Renewed)",Apple,Amazon,269,29929,0.670164448
8,"Apple iPhone 11, 128GB, Black - Fully Unlocked (Renewed)",Apple,Amazon,297,21462,0.46884348
9,"Apple iPhone SE 3rd Gen, 64GB, Midnight - Unlocked (Renewed)",Apple,Amazon,335,608,-0.023367776
10,"Apple iPhone 11, 64GB, Green - Fully Unlocked (Renewed)",Apple,Amazon,330,2599,0.023786413
11,"Apple iPhone 11, 64GB, Red - Fully Unlocked (Renewed)",Apple,Amazon,149,5286,0.107892581
12,Apple iPhone 7 32GB Smartphone Certified (Renewed) (Silver),Apple,Amazon,249,8,-0.027299187
13,"Apple iPhone Xs, Fully Unlocked 5.8in, 64 GB - Gold (Renewed)",Apple,Amazon,199,3860,0.068667174
14,"Apple iPhone SE, 64GB, Red - Fully Unlocked (Renewed)",Apple,Amazon,870,5152,0.020067816
15,"Apple iPhone 14, 128GB, Purple - Unlocked (Renewed)",Apple,Amazon,187,326,-0.01257889
16,"Apple iPhone 12 Pro, 128GB, Pacific Blue - Unlocked (Renewed)",Apple,Amazon,279,5226,0.091219096
17,"Apple iPhone SE, 64GB, White - Fully Unlocked (Renewed)",Apple,Amazon,248,2147,0.022846677
18,"Apple iPhone XR, US Version, 64GB, White - Unlocked (Renewed)",Apple,Amazon,929,6516,0.045039679
19,"Apple iPhone Xs, Fully Unlocked, 64 GB - Space Gray (Renewed)",Apple,Amazon,225,6034,0.116460146
20,"Apple iPhone 13 Pro Max, 128GB, Sierra Blue - Unlocked (Renewed)",Apple,Amazon,182,1019,0.004216783
21,"Apple iPhone SE (2nd Generation), US Version, 128GB, Red - Unlocked (Renewed)",Apple,Amazon,569,1001,-0.041662318
